03/03/2016 19:43:15.381324 ./server:     Creating C150DgmSocket
03/03/2016 19:43:29.503345 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:29.503458 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:30.503872 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:30.503941 ./server:     C150NastyDgmSocket::read: dropping packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:31.503879 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:31.503940 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:31.503999 ./server:     Server received TRANSFER packet 274 for file romeo.txt

03/03/2016 19:43:31.508007 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0........................?{.|
03/03/2016 19:43:31.508129 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0........................?{.|
03/03/2016 19:43:32.508870 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:32.508934 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:32.508992 ./server:     Server received TRANSFER packet 275 for file romeo.txt

03/03/2016 19:43:32.512684 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:32.512798 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:33.512890 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:33.512951 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:33.513006 ./server:     Server received TRANSFER packet 276 for file romeo.txt

